,utterance,classes,snli
0,i need to know your exchange rates,"['know rates', 'exchange rates', 'know rates']",exchange rates
1,what exchange rates do you offer?,"['exchange rates', 'offer rates']",exchange rates
2,how did you come up with your exchange rates?,"['exchange rates', 'come rates']",exchange rates
3,where do you guys acquire your exchange rate?,"['acquire rate', 'exchange rate', 'acquire rate']",Unknown
4,how do i find the exchange rate?,"['find rate', 'exchange rate', 'find rate']",Unknown
5,what are your international exchange rates?,"['exchange rates', 'international rates', ' rates']",international rates
6,how often do your exchange rates change,"['exchange rates', 'change rates']",exchange rates
7,please advise what is the exchange rate,"['exchange rate', 'advise rate']",advise rate
8,how are exchange rates calculated?,"['exchange rates', 'calculated rates']",exchange rates
9,what are exchange rates based on,"['exchange rates', 'based rates']",exchange rates
10,what are exchange rates,"['exchange rates', ' rates']",exchange rates
11,what are the most current exchange rates?,"['exchange rates', 'current rates', ' rates']",exchange rates
12,can you explain your exchange rate policy to me?,"['explain policy', 'rate policy', 'explain policy']",Unknown
13,is it a good time to exchange?,"['good time', 'exchange time']",exchange time
14,what is the exchange rate like on this app?,"['exchange rate', ' app']",exchange rate
15,do you have a list of exchange rates?,"['have list', 'exchange rates', 'have rates']",exchange rates
16,can you tell me where you get your exchange rates?,"['get rates', 'exchange rates', 'get rates']",exchange rates
17,will i get a curreng foreign exchange rate?,"['get rate', 'exchange rate', 'foreign exchange', 'get rate']",Unknown
18,what currencies is an exchange rate calculated in?,"['exchange rate', 'calculated rate']",exchange rate
19,where do you get your exchange rates from?,"['get rates', 'exchange rates', 'get rates']",exchange rates
20,what is the base of the exchange rates?,"['exchange rates', ' rates']",exchange rates
21,what exchange rate do you use?,"['exchange rate', 'use rate']",exchange rate
22,the exchange rates are?,"['exchange rates', ' rates']",exchange rates
23,what do you base your exchange rates on?,"['base rates', 'exchange rates', 'base rates']",exchange rates
24,what foreign exchange rate will you use?,"['exchange rate', 'foreign exchange', 'use rate']",Unknown
25,how much will i get with the exchange rate?,"['exchange rate', 'get rate']",exchange rate
26,the exchange rate would be?,"['exchange rate', ' rate']",exchange rate
27,what is the exchange rate like?,"['exchange rate', ' rate']",exchange rate
28,how do your exchange rates work?,"['exchange rates', 'work rates']",exchange rates
29,what is the exchange rate?,"['exchange rate', ' rate']", rate
30,where did your guys exchange rates come from?,"['exchange rates', 'come rates']",exchange rates
31,how are you determining your exchange rates?,"['determining rates', 'exchange rates', 'determining rates']",Unknown
32,i'm trying to figure out the current exchange rate,"['figure rate', 'exchange rate', 'current rate', 'figure rate']",Unknown
33,from where are you getting your exchange rates?,"['getting rates', 'exchange rates', 'getting rates']",exchange rates
34,can you tell me the foreign exchange rate?,"['tell rate', 'exchange rate', 'foreign exchange', 'tell rate']",Unknown
35,why do your exchange rates change,"['exchange rates', 'change rates']",exchange rates
36,what kind of foreign exchange rate will i get when i exchange my money?,"['exchange money', 'exchange rate', 'foreign exchange', 'exchange money']",Unknown
37,what is my foreign exchange rate?,"['exchange rate', 'foreign exchange', ' rate']",Unknown
38,when does the rate get determined,['determined rate'],determined rate
39,what is the current exchange rate for me?,"['exchange rate', 'current rate', ' rate']",exchange rate
40,i need my card now!,"['need card', 'need card']",need card
41,my card was not in the mail again can you advise?,['advise mail'],advise mail
42,i need my card quick,"['need card', 'need card']",Unknown
43,how long will it take to get to me?,['get '],get 
44,i'm just wondering when my card will get here,['get card'],get card
45,can you get me my card fast?,"['get card', 'get card']",Unknown
46,how long will it take to deliver something to us?,"['deliver ', 'deliver ']",deliver 
47,i live in the us how long will it take for delivery?,['take delivery'],take delivery
48,when can i expect my card to be delivered to the us?,['delivered card'],delivered card
49,i need my card quickly,"['need card', 'need card']",Unknown
50,does delivery to the us take long?,['take delivery'],take delivery
51,how long will it take to arrive?,['arrive '],arrive 
52,can i have my card delivered on a specific day?,"['specific day', 'delivered day']",specific day
53,what is the difference between standard and express delivery?,"['standard delivery', ' delivery']", delivery
54,can it be delivered by a specific date?,"['specific date', 'delivered date']",delivered date
55,may i choose when it's delivered?,['delivered '],Unknown
56,i need it delivered on a certain date,"['certain date', 'delivered date']",certain date
57,when should i expect my card?,"['expect card', 'expect card']",Unknown
58,how long does it take to get my card? can i choose when to receive it?,"['receive card', 'receive card']",Unknown
59,how long will it take for the card to arrive?,['arrive card'],arrive card
60,how fast can you deliver?,['deliver '],deliver 
61,ordered awhile back what is the eta in the us?,['ordered eta'],ordered eta
