,utterance,classes,prompt,bigscience/T0pp
0,i need to know your exchange rates,"['know rates', 'exchange rates', 'know rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know rates exchange rates.###11111
1,what exchange rates do you offer?,"['exchange rates', 'offer rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates offer rates.. i like that most
2,how did you come up with your exchange rates?,"['exchange rates', 'come rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",come rates exchange rates...com
3,where do you guys acquire your exchange rate?,"['acquire rate', 'exchange rate', 'acquire rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",acquire rate exchange rate????????????
4,how do i find the exchange rate?,"['find rate', 'exchange rate', 'find rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find rate exchange rate.html?redirect=http%3a%2f%22https%20www.exchangerate.com%203.aspx%205.
5,what are your international exchange rates?,"['exchange rates', 'international rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates rates international rates rate..
6,how often do your exchange rates change,"['exchange rates', 'change rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",change rates exchange rates. permalink..
7,please advise what is the exchange rate,"['exchange rate', 'advise rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rate advise me on exchange rates for future transfers
8,how are exchange rates calculated?,"['exchange rates', 'calculated rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",calculated rates exchange rates.. u tube
9,what are exchange rates based on,"['exchange rates', 'based rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",based rates exchange rates.. thanks.
10,what are exchange rates,"['exchange rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates.com exchange rate table.xlsx
11,what are the most current exchange rates?,"['exchange rates', 'current rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rates exchange rates. (n.d.)
12,can you explain your exchange rate policy to me?,"['explain policy', 'rate policy', 'explain policy']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",explain policy. rate policy is a part of the monetary system
13,is it a good time to exchange?,"['good time', 'exchange time']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",good time to exchange.. thanks. <unk>
14,what is the exchange rate like on this app?,"['exchange rate', ' app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate app.com.au. exchangeratecom
15,do you have a list of exchange rates?,"['have list', 'exchange rates', 'have rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have list exchange rates have rates? UNSPECIFIED
16,can you tell me where you get your exchange rates?,"['get rates', 'exchange rates', 'get rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get rates exchange rates.. i will tell you a website
17,will i get a curreng foreign exchange rate?,"['get rate', 'exchange rate', 'foreign exchange', 'get rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate get rate? i have no idea
18,what currencies is an exchange rate calculated in?,"['exchange rate', 'calculated rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate calculated rate.. currency pairs.
19,where do you get your exchange rates from?,"['get rates', 'exchange rates', 'get rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get rates exchange rates.html?option=expand_relative_urls&amp;expires=y
20,what is the base of the exchange rates?,"['exchange rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates. franc exchange rate.
21,what exchange rate do you use?,"['exchange rate', 'use rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate use rate i use exchange rates to
22,the exchange rates are?,"['exchange rates', ' rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates are changing rapidly worldwide due to global financial turmoil
23,what do you base your exchange rates on?,"['base rates', 'exchange rates', 'base rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",base rates exchange rates.. permalink.
24,what foreign exchange rate will you use?,"['exchange rate', 'foreign exchange', 'use rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate to use for your transfer..
